beschreibung,alter,leistung,nutzung,schaltung,tank,co2,alles,verkaufer,ort,nation,price (euro),km,consumption (per 100km),brand,users
718 Cayman 2.0,GESICAR DAL 1989,221 kW (300 PS),Gebraucht,Automatik,Benzin,199 g/km (komb.),"Porsche Cayman 718 Cayman 2.0GESICAR DAL 1989€ 63.900,-48.000 km03/2019221 kW (300 PS)Gebraucht1 FahrzeughalterAutomatikBenzin8,7 l/100 km (komb.)199 g/km (komb.)",Nicola Prezioso Srl(5),Enrico Prezioso • IT-04011 Aprilia - Latina - Lt,italien,63900,48000,"8,7",Porsche,1
d Coupé Luxury PELLE+NAVI,"Schaltwippen, LED-Scheinwerfer, Multifunktionslenkrad, Wegfahrsperre, MP3, Klimaautomatik, Einparkhilfe Sensoren vorne, Elektrische Seitenspiegel",135 kW (184 PS),Gebraucht,Automatik,Diesel,124 g/km (komb.),"BMW 420 d Coupé Luxury PELLE+NAVISchaltwippen, LED-Scheinwerfer, Multifunktionslenkrad, Wegfahrsperre, MP3, Klimaautomatik, Einparkhilfe Sensoren vorne, Elektrische Seitenspiegel€ 19.900,-145.000 km07/2014135 kW (184 PS)Gebraucht- (Fahrzeughalter)AutomatikDiesel4,7 l/100 km (komb.)124 g/km (komb.)",De Bona Motors Susegana(101),Ufficio Vendite • IT-31058 Susegana - Treviso - Tv,italien,19900,145000,"4,7",BMW,0
Wrangler 2.8 crd Sahara,"Luftfederung, Schiebedach, Freisprecheinrichtung, Navigationssystem, Soundsystem, TV, Bordcomputer, Tempomat",147 kW (200 PS),Gebraucht,Automatik,Diesel,231 g/km (komb.),"Jeep Wrangler Wrangler 2.8 crd SaharaLuftfederung, Schiebedach, Freisprecheinrichtung, Navigationssystem, Soundsystem, TV, Bordcomputer, Tempomat€ 40.000,-28.000 km04/2018147 kW (200 PS)Gebraucht1 FahrzeughalterAutomatikDiesel8,8 l/100 km (komb.)231 g/km (komb.)",Autohero Italia Srl(65),Centro di consegna • IT-37138 Verona,italien,40000,28000,"8,8",Jeep,1
1.0 EcoBoost Hybrid 125 CV S&S Titanium,Vettura in pronta consegna,92 kW (125 PS),Gebraucht,Schaltgetriebe,Elektro/Benzin,96 g/km (komb.),"HybridFord Puma 1.0 EcoBoost Hybrid 125 CV S&S TitaniumVettura in pronta consegna€ 18.900,-48.247 km02/202092 kW (125 PS)Gebraucht- (Fahrzeughalter)SchaltgetriebeElektro/Benzin4,2 l/100 km (komb.)96 g/km (komb.)",MM Motors Brescia di Andrea Bevilacqua(23),Andrea Bevilacqua • IT-25038 Rovato - Bs,italien,,48247,"4,2",Ford,0
"Coupe 3.0si 265cv ""Manuale""",Xeno/Navi/PDC/Pelle Tot./Sedili riscaldabili/,195 kW (265 PS),Gebraucht,Schaltgetriebe,Benzin,207 g/km (komb.),"ZurückWeiter1 / 41BMW Z4 Coupe 3.0si 265cv ""Manuale""Xeno/Navi/PDC/Pelle Tot./Sedili riscaldabili/MerkenTeilen€ 25.900,-85.000 km12/2007195 kW (265 PS)Gebraucht1 FahrzeughalterSchaltgetriebeBenzin8,9 l/100 km (komb.)207 g/km (komb.)",Bertonova Srl(44),Simone Gozzo • IT-36040 Alonte -Vicenza - Vi,italien,25900,85000,"8,9",BMW,1
XE 2.0 D 180 CV aut. R-Sport,"Elektrische Sitze, Klimaautomatik, Traktionskontrolle, Wegfahrsperre, Beifahrerairbag, Spurhalteassistent, Armlehne, Notbremsassistent",132 kW (179 PS),Gebraucht,Automatik,Diesel,109 g/km (komb.),"ZurückWeiter1 / 21Jaguar XE XE 2.0 D 180 CV aut. R-SportElektrische Sitze, Klimaautomatik, Traktionskontrolle, Wegfahrsperre, Beifahrerairbag, Spurhalteassistent, Armlehne, Notbremsassistent€ 28.900,-38.009 km04/2018132 kW (179 PS)Gebraucht2 FahrzeughalterAutomatikDiesel4,2 l/100 km (komb.)109 g/km (komb.)",Gruppo Veloccia S.R.L.(3),Fabio Veloccia • IT-00128 Roma - Rm,italien,28900,38009,"4,2",Jaguar,2
1.5 TSI DSG,Whatsapp DIRETTO: 3515270255 GIANLUCA,110 kW (150 PS),Neu,Automatik,Benzin,- (g/km),"Cupra Formentor 1.5 TSI DSGWhatsapp DIRETTO: 3515270255 GIANLUCA€ 34.890,-- km- (Erstzulassung)110 kW (150 PS)Neu- (Fahrzeughalter)AutomatikBenzin- (l/100 km)- (g/km)",MS Automobili Srl(292),Matteo Ciuffreda • IT-10143 Torino - To,italien,34890,,,Cupra,0
Crossland X 1.5 ECOTEC D 102 CV Start&Stop Innovat,Crossland X 1.5 ECOTEC D 102 CV Start&Stop Innovat,75 kW (102 PS),Gebraucht,Schaltgetriebe,Diesel,106 g/km (komb.),"Opel Crossland X Crossland X 1.5 ECOTEC D 102 CV Start&Stop InnovatCrossland X 1.5 ECOTEC D 102 CV Start&Stop Innovat€ 15.900,-21.307 km04/202075 kW (102 PS)Gebraucht- (Fahrzeughalter)SchaltgetriebeDiesel4 l/100 km (komb.)106 g/km (komb.)",Rattix Srl - Ratti Auto(66),Luca Giallombardo • IT-35013 Cittadella - Padova,italien,15900,21307,4,Opel,0
Sportback 35 2.0 tdi doppio s-line,"Sportpaket, Sportsitze, Getönte Scheiben, Panoramadach, 360° Kamera, Schaltwippen, Verkehrszeichenerkennung, Ambientebeleuchtung",110 kW (150 PS),Gebraucht,Automatik,Diesel,- (g/km),"Audi Q3 Sportback 35 2.0 tdi doppio s-lineSportpaket, Sportsitze, Getönte Scheiben, Panoramadach, 360° Kamera, Schaltwippen, Verkehrszeichenerkennung, Ambientebeleuchtung€ 47.000,-63.000 km02/2020110 kW (150 PS)Gebraucht- (Fahrzeughalter)AutomatikDiesel4,7 l/100 km (komb.)- (g/km)",Citroen Armando(15),Gondolo Renzo • IT-12100 Cuneo - Cn,italien,47000,63000,"4,7",Audi,0
250,- (Erstzulassung),- kW (- PS),Neu,Automatik,Elektro,0 g/km (komb.),"ElektrischMercedes-Benz EQB 250 250€ 58.323,-0 km- (Erstzulassung)- kW (- PS)Neu- (Fahrzeughalter)AutomatikElektro- (l/100 km)0 g/km (komb.)",Gima Services S.r.l.(2),Massimo • IT-20900 Monza,italien,,0,,Mercedes-Benz,0
428i Coupe xdrive Sport,Sportsitze,180 kW (245 PS),Gebraucht,Schaltgetriebe,Benzin,159 g/km (komb.),"BMW 428 428i Coupe xdrive SportSportsitze€ 25.400,-70.000 km03/2014180 kW (245 PS)Gebraucht2 FahrzeughalterSchaltgetriebeBenzin6,8 l/100 km (komb.)159 g/km (komb.)",Oliva Motor's Srl(38),Luigi Oliva • IT-81031 Aversa - Caserta - Ce,italien,25400,70000,"6,8",BMW,2
1.0 TSI 110 CV DSG Style,"Nebelscheinwerfer, Totwinkel-Assistent, Armlehne, Lordosenstütze, teilb. Rücksitzbank, Tempomat, Beifahrerairbag, Seitenairbag",81 kW (110 PS),Gebraucht,Automatik,Benzin,- (g/km),"Volkswagen T-Cross 1.0 TSI 110 CV DSG StyleNebelscheinwerfer, Totwinkel-Assistent, Armlehne, Lordosenstütze, teilb. Rücksitzbank, Tempomat, Beifahrerairbag, Seitenairbag€ 24.900,-4.920 km06/202281 kW (110 PS)Gebraucht- (Fahrzeughalter)AutomatikBenzin- (l/100 km)- (g/km)",Renault Retail Group Italia SPA-Filiale di Roma(88),Chiedere di un venditore • IT-00100 Roma - Rm,italien,24900,4920,,Volkswagen,0
1.6 jtdm 120cv super,Concessionaria Ufficiale,88 kW (120 PS),Gebraucht,Automatik,Diesel,103 g/km (komb.),"Alfa Romeo Giulietta 1.6 jtdm 120cv superConcessionaria Ufficiale€ 16.590,-68.686 km01/201788 kW (120 PS)Gebraucht1 FahrzeughalterAutomatikDiesel3,9 l/100 km (komb.)103 g/km (komb.)",Ambrosi Spa(201),Contatta Il Nostro Team Vendita!! • IT-06073 Corciano - Perugia - Pg,italien,16590,68686,"3,9",Alfa,1
1.4 Turbo T-Jet 180CV  Competizione,COMPRA L' AUTO ONLINE FACILMENTE | DIRITTO DI RECESSO,132 kW (179 PS),Gebraucht,Schaltgetriebe,Benzin,139 g/km (komb.),"Abarth 595 1.4 Turbo T-Jet 180CV  CompetizioneCOMPRA L' AUTO ONLINE FACILMENTE | DIRITTO DI RECESSO€ 15.999,-58.025 km04/2015132 kW (179 PS)Gebraucht- (Fahrzeughalter)SchaltgetriebeBenzin6 l/100 km (komb.)139 g/km (komb.)",MonacoAutomobili(29),Responsabile Commerciale • IT-36053 Gambellara - Vicenza - Vi,italien,15999,58025,6,Abarth,0
DB11 Coupe 4.0 V8 510cv. SOLO PER POCHI GIORNI,06/2020,375 kW (510 PS),Gebraucht,Automatik,Benzin,230 g/km (komb.),"Aston Martin DB11 DB11 Coupe 4.0 V8 510cv. SOLO PER POCHI GIORNI€ 170.000,-13.000 km06/2020375 kW (510 PS)Gebraucht1 FahrzeughalterAutomatikBenzin10,3 l/100 km (komb.)230 g/km (komb.)",Autoingros Piacenza(38),Ufficio Vendite • IT-29121 Piacenza,italien,170000,13000,"10,3",Aston,1
BlueHDi 130 S&S EAT8 SW Allure Pack,NEW PEUGEOT 308 SW ALLURE PACK BENZINA 130CV MANUA,96 kW (131 PS),Tageszulassung,Automatik,Diesel,- (g/km),"Peugeot 308 BlueHDi 130 S&S EAT8 SW Allure PackNEW PEUGEOT 308 SW ALLURE PACK BENZINA 130CV MANUA€ 33.600,-55 km11/202296 kW (131 PS)Tageszulassung- (Fahrzeughalter)AutomatikDiesel- (l/100 km)- (g/km)",Bencivenni  Auto Spa(11),Roberto Maestrale • IT-88100 Catanzaro - CZ,italien,33600,55,,Peugeot,0
Rav4 2.5 vvt-ie h Business 2wd-i 222cv e-cvt,QUATTRORUOTE PROFFESIONAL APPROVED!PRONTA CONSEGNA,131 kW (178 PS),Gebraucht,Automatik,Elektro/Benzin,127 g/km (komb.),"HybridToyota RAV 4 Rav4 2.5 vvt-ie h Business 2wd-i 222cv e-cvtQUATTRORUOTE PROFFESIONAL APPROVED!PRONTA CONSEGNA€ 29.900,-22.842 km02/2019131 kW (178 PS)Gebraucht1 FahrzeughalterAutomatikElektro/Benzin4,4 l/100 km (komb.)127 g/km (komb.)",Valentino Automobili Roma Srl(36),Carlo Graus • IT-00156 Roma - Rm,italien,,22842,"4,4",Toyota,1
XC60 D4 Geartronic Momentum Unicoproprietario,"Elektrische Sitze, Reifendruckkontrollsystem, Klimaautomatik, Regensensor, Elektrische Seitenspiegel, Innenspiegel automatisch abblendend, Einparkhilfe Sensoren hinten, Fahrerairbag",133 kW (181 PS),Gebraucht,Automatik,Diesel,- (g/km),"Volvo XC60 XC60 D4 Geartronic Momentum UnicoproprietarioElektrische Sitze, Reifendruckkontrollsystem, Klimaautomatik, Regensensor, Elektrische Seitenspiegel, Innenspiegel automatisch abblendend, Einparkhilfe Sensoren hinten, Fahrerairbag€ 14.500,-179.000 km04/2014133 kW (181 PS)Gebraucht- (Fahrzeughalter)AutomatikDiesel- (l/100 km)- (g/km)",Gima Services S.r.l.(2),Massimo • IT-20900 Monza,italien,14500,179000,,Volvo,0
Comfort Plus Electric 45,"Navigationssystem, ESP, Elektrische Seitenspiegel, Elektr. Fensterheber, ABS, USB, Servolenkung, Radio",18 kW (24 PS),Gebraucht,Automatik,Elektro,0 g/km (komb.),"ElektrischDacia Spring Comfort Plus Electric 45Navigationssystem, ESP, Elektrische Seitenspiegel, Elektr. Fensterheber, ABS, USB, Servolenkung, Radio€ 17.629,-13.366 km09/202118 kW (24 PS)Gebraucht- (Fahrzeughalter)AutomatikElektro- (l/100 km)0 g/km (komb.)",Fratelli Giacomel Spa(248),web team • IT-20057 Assago - Milano - Mi,italien,,13366,,Dacia,0
1.6 Bi-Fuel GPL,"Schiebedach, Seitenairbag, Sitzheizung, Einparkhilfe Kamera, Klimaautomatik, Traktionskontrolle, ESP, Lichtsensor",84 kW (114 PS),Gebraucht,Schaltgetriebe,Autogas (LPG),174 g/km (komb.),"EVO EVO4 1.6 Bi-Fuel GPLSchiebedach, Seitenairbag, Sitzheizung, Einparkhilfe Kamera, Klimaautomatik, Traktionskontrolle, ESP, Lichtsensor€ 17.500,-69.706 km09/202184 kW (114 PS)Gebraucht1 FahrzeughalterSchaltgetriebeAutogas (LPG)7,4 l/100 km (komb.)174 g/km (komb.)",Carraro Spa(63),Servizio clienti • IT-31100 Treviso - Tv,italien,17500,69706,"7,4",EVO,1
A6 3.0 V6 tdi Ambiente quattro 245cv s-tronic,"Luftfederung, Alufelgen, ESP, Lederlenkrad, Geschwindigkeits-begrenzungsanlage, Lichtsensor, Klimaautomatik, Sitzheizung",180 kW (245 PS),Gebraucht,Halbautomatik,Diesel,156 g/km (komb.),"Audi A6 A6 3.0 V6 tdi Ambiente quattro 245cv s-tronicLuftfederung, Alufelgen, ESP, Lederlenkrad, Geschwindigkeits-begrenzungsanlage, Lichtsensor, Klimaautomatik, Sitzheizung€ 19.199,-156.000 km08/2013180 kW (245 PS)Gebraucht2 FahrzeughalterHalbautomatikDiesel5,9 l/100 km (komb.)156 g/km (komb.)",Moricar Srl,Giordano Mori • IT-42044 Gualtieri - Reggio Emilia - Re,italien,19199,156000,"5,9",Audi,2
B 180 CDI Automatic Executive,GARANTITO & CERTIFICATO PREMIUM #NONPRENDERMIPERILKM,80 kW (109 PS),Gebraucht,Automatik,Diesel,104 g/km (komb.),"Mercedes-Benz B 180 B 180 CDI Automatic ExecutiveGARANTITO & CERTIFICATO PREMIUM #NONPRENDERMIPERILKM€ 9.990,-199.000 km11/201480 kW (109 PS)Gebraucht- (Fahrzeughalter)AutomatikDiesel4,2 l/100 km (komb.)104 g/km (komb.)",Carini Srl(69),Samanta servizio clienti • IT-33010 Tavagnacco – Ud,italien,9990,199000,"4,2",Mercedes-Benz,0
Megane Sporter 1.5 blue dci Business 115cv edc,"** KM CERTIFICATI, GARANZIA, FINANZIAMENTI, PERMUTE **",85 kW (116 PS),Gebraucht,Automatik,Diesel,104 g/km (komb.),"Renault Megane Megane Sporter 1.5 blue dci Business 115cv edc** KM CERTIFICATI, GARANZIA, FINANZIAMENTI, PERMUTE **€ 18.995,-34.395 km02/202185 kW (116 PS)Gebraucht1 FahrzeughalterAutomatikDiesel3,9 l/100 km (komb.)104 g/km (komb.)",Lopez Motor Srl da Prestige  Car & More(17),DAVIDE MICARELLI • IT-04010 Latina - Lt,italien,18995,34395,"3,9",Renault,1
2.2 TD4 5p. Pure,03/2014,110 kW (150 PS),Gebraucht,Schaltgetriebe,Diesel,149 g/km (komb.),"Land Rover Range Rover Evoque 2.2 TD4 5p. Pure€ 14.900,-220.000 km03/2014110 kW (150 PS)Gebraucht- (Fahrzeughalter)SchaltgetriebeDiesel6 l/100 km (komb.)149 g/km (komb.)",Zp Auto srl - Ziliani Auto Srl(342),Sig. Luca • IT-00154 Roma - Rm,italien,14900,220000,6,Land,0
2.2 Turbodiesel 210 CV AT8 Q4 Executive,"Abstandstempomat, Getönte Scheiben, Einparkhilfe Kamera, Elektrische Heckklappe, Beheizbares Lenkrad, Elektrische Sitze, Beifahrerairbag, Soundsystem",154 kW (209 PS),Gebraucht,Automatik,Diesel,146 g/km (komb.),"ZurückWeiter1 / 14Alfa Romeo Stelvio 2.2 Turbodiesel 210 CV AT8 Q4 ExecutiveAbstandstempomat, Getönte Scheiben, Einparkhilfe Kamera, Elektrische Heckklappe, Beheizbares Lenkrad, Elektrische Sitze, Beifahrerairbag, SoundsystemMerkenTeilen€ 43.200,-16.000 km07/2020154 kW (209 PS)Gebraucht1 FahrzeughalterAutomatikDiesel5,6 l/100 km (komb.)146 g/km (komb.)",M.B. Auto srl - Cargarage Opera(15),Giuseppe de Pace • IT-20073 Opera - Milano,italien,43200,16000,"5,6",Alfa,1
2.0 hev Elegance Navi ecvt,Oltre 600 autovetture in pronta consegna!,107 kW (145 PS),Neu,Automatik,Elektro/Benzin,- (g/km),"ZurückWeiter1 / 11 HybridHonda CR-V 2.0 hev Elegance Navi ecvtOltre 600 autovetture in pronta consegna!€ 37.500,-- km- (Erstzulassung)107 kW (145 PS)Neu- (Fahrzeughalter)AutomatikElektro/Benzin- (l/100 km)- (g/km)",Ci.Pa Srl(47),Cosentino Giuseppe • IT-20149 Milano - Mi,italien,,,,Honda,0
Pure Performance,11/2022,70 kW (95 PS),Tageszulassung,Automatik,Elektro,0 g/km (komb.),"ElektrischVolkswagen ID.4 Pure Performance€ 41.500,-1 km11/202270 kW (95 PS)Tageszulassung- (Fahrzeughalter)AutomatikElektro- (l/100 km)0 g/km (komb.)",DM Motor srl(6),Diego Mariotti • IT-00125 Roma - Rm,italien,,1,,Volkswagen,0
1.8 Hybrid E-CVT Trend,"Elektrische Sitze, Sitzheizung, Einparkhilfe Kamera, Nebelscheinwerfer, Getönte Scheiben, ESP, Seitenairbag, Servolenkung",90 kW (122 PS),Gebraucht,Automatik,Elektro/Benzin,- (g/km),"HybridToyota C-HR 1.8 Hybrid E-CVT TrendElektrische Sitze, Sitzheizung, Einparkhilfe Kamera, Nebelscheinwerfer, Getönte Scheiben, ESP, Seitenairbag, Servolenkung€ 18.950,-96.167 km07/201890 kW (122 PS)Gebraucht- (Fahrzeughalter)AutomatikElektro/Benzin- (l/100 km)- (g/km)",Scotti & co. srl(52),Scotti Ugo Automobili • IT-57121 Livorno,italien,,96167,,Toyota,0
Golf 5p 1.6 Comfortline,"Zentralverriegelung mit Funkfernbedienung, Elektrische Seitenspiegel, Traktionskontrolle, Getönte Scheiben, Nebelscheinwerfer, Kopfairbag, Berganfahrassistent, Ambientebeleuchtung",75 kW (102 PS),Gebraucht,Schaltgetriebe,Benzin,176 g/km (komb.),"Volkswagen Golf Golf 5p 1.6 ComfortlineZentralverriegelung mit Funkfernbedienung, Elektrische Seitenspiegel, Traktionskontrolle, Getönte Scheiben, Nebelscheinwerfer, Kopfairbag, Berganfahrassistent, Ambientebeleuchtung€ 4.999,-161.700 km10/200775 kW (102 PS)Gebraucht1 FahrzeughalterSchaltgetriebeBenzin7,2 l/100 km (komb.)176 g/km (komb.)",Giulio Feroleto(93),Giulio Feroleto • IT-20062 Cassano D'Adda - MI,italien,4999,161700,"7,2",Volkswagen,1
2.2d portfolio 200cv auto,LA TUA NUOVA AUTO AD UN PREZZO SPECIALE,147 kW (200 PS),Gebraucht,Automatik,Diesel,135 g/km (komb.),"Jaguar XF 2.2d portfolio 200cv autoLA TUA NUOVA AUTO AD UN PREZZO SPECIALE€ 18.900,-51.333 km12/2014147 kW (200 PS)Gebraucht3 FahrzeughalterAutomatikDiesel5,1 l/100 km (komb.)135 g/km (komb.)",Autohero Italia srl(61),Centro di consegna • IT-00169 Roma,italien,18900,51333,"5,1",Jaguar,3
GLA - X156 - GLA 200 d Sport auto,"Sportsitze, Sportpaket, Einparkhilfe Kamera, Isofix, Armlehne, ESP, Klimaautomatik, Zentralverriegelung",100 kW (136 PS),Gebraucht,Automatik,Diesel,147 g/km (komb.),"Mercedes-Benz GLA 200 GLA - X156 - GLA 200 d Sport autoSportsitze, Sportpaket, Einparkhilfe Kamera, Isofix, Armlehne, ESP, Klimaautomatik, Zentralverriegelung€ 24.900,-57.607 km08/2017100 kW (136 PS)Gebraucht1 FahrzeughalterAutomatikDiesel5,5 l/100 km (komb.)147 g/km (komb.)",Dott. M.Palmucci Spa(96),Christian Mendola • IT-59100 Prato - Po -,italien,24900,57607,"5,5",Mercedes-Benz,1
"WAVE3 GPL TUTTO DI SERIE 22.000,00!!","NUOVA EMC WAVE3 GPL - 22.000,00 TUTTO DI SERIE !1",110 kW (150 PS),Neu,Automatik,Autogas (LPG),- (g/km),"EMC Wave 3 WAVE3 GPL TUTTO DI SERIE 22.000,00!!NUOVA EMC WAVE3 GPL - 22.000,00 TUTTO DI SERIE !1€ 24.000,-- km- (Erstzulassung)110 kW (150 PS)Neu- (Fahrzeughalter)AutomatikAutogas (LPG)- (l/100 km)- (g/km)",Peressini Srl(58),Whatsapp Peressini • IT-33080 Fiume Veneto - Pn,italien,24000,,,EMC,0
1.5h active,"Einparkhilfe Kamera, Alufelgen, Nebelscheinwerfer, Klimaautomatik, Fahrerairbag, Lichtsensor, Abstandstempomat, Zentralverriegelung",85 kW (116 PS),Gebraucht,Automatik,Elektro/Benzin,87 g/km (komb.),"HybridToyota Yaris 1.5h activeEinparkhilfe Kamera, Alufelgen, Nebelscheinwerfer, Klimaautomatik, Fahrerairbag, Lichtsensor, Abstandstempomat, Zentralverriegelung€ 17.900,-21.000 km12/202085 kW (116 PS)Gebraucht- (Fahrzeughalter)AutomatikElektro/Benzin3,8 l/100 km (komb.)87 g/km (komb.)",M.B. Motori Srl(206),Oscar Sonato • IT-37135 Verona,italien,,21000,"3,8",Toyota,0
EVO RWD COUPE' 5.2 610CV EVOLUTION UNIRPO PERMUTE,12/2020,449 kW (610 PS),Gebraucht,Halbautomatik,Benzin,- (g/km),"Lamborghini Huracan EVO RWD COUPE' 5.2 610CV EVOLUTION UNIRPO PERMUTE€ 307.000,-10.000 km12/2020449 kW (610 PS)Gebraucht1 FahrzeughalterHalbautomatikBenzin- (l/100 km)- (g/km)",Tm Wagen srl(117),Mirko Mazzanti • IT-51100 Pistoia - Pt,italien,307000,10000,,Lamborghini,1
"1.6 C.LEGA 15""..QUALSIASI PROVA","Nebelscheinwerfer, Alufelgen, Soundsystem, Lederlenkrad, Traktionskontrolle, Bordcomputer, Regensensor, Elektr. Fensterheber",80 kW (109 PS),Gebraucht,Schaltgetriebe,Diesel,- (g/km),"MINI Cooper D 1.6 C.LEGA 15""..QUALSIASI PROVANebelscheinwerfer, Alufelgen, Soundsystem, Lederlenkrad, Traktionskontrolle, Bordcomputer, Regensensor, Elektr. Fensterheber€ 7.900,-84.000 km10/200980 kW (109 PS)Gebraucht- (Fahrzeughalter)SchaltgetriebeDiesel- (l/100 km)- (g/km)",F.lli Cozzi Spa(173),Fratelli Cozzi • IT-20025 Legnano - Milano - Mi,italien,7900,84000,,MINI,0
5p 2.0 tsi Performance 245cv dsg,numero diretto 335 5209325 Giuseppe,180 kW (245 PS),Gebraucht,Halbautomatik,Benzin,- (g/km),"Volkswagen Golf GTI 5p 2.0 tsi Performance 245cv dsgnumero diretto 335 5209325 Giuseppe€ 30.999,-38.000 km10/2018180 kW (245 PS)Gebraucht- (Fahrzeughalter)HalbautomatikBenzin6,3 l/100 km (komb.)- (g/km)",Ambrosi Spa(201),Contatta Il Nostro Team Vendita!! • IT-06073 Corciano - Perugia - Pg,italien,30999,38000,"6,3",Volkswagen,0
530d Touring Eletta,"Seitenairbag, Einparkhilfe Kamera, Elektrische Seitenspiegel, Abstandstempomat, Navigationssystem, Schlüssellose Zentralverriegelung, TV, W-Lan / Wifi Hotspot",180 kW (245 PS),Gebraucht,Automatik,Diesel,169 g/km (komb.),"BMW 530 530d Touring ElettaSeitenairbag, Einparkhilfe Kamera, Elektrische Seitenspiegel, Abstandstempomat, Navigationssystem, Schlüssellose Zentralverriegelung, TV, W-Lan / Wifi Hotspot€ 13.900,-190.000 km12/2013180 kW (245 PS)Gebraucht1 FahrzeughalterAutomatikDiesel6,4 l/100 km (komb.)169 g/km (komb.)",Ambrostore Spa(67),Ford Ambrostore • IT-20134 Milano - Mi,italien,13900,190000,"6,4",BMW,1
5p 2.0 tsi Performance 245cv,"Getönte Scheiben, Lederlenkrad, Einparkhilfe Sensoren hinten, LED-Scheinwerfer, Sportsitze, Bluetooth, Touchscreen, Sitzheizung",180 kW (245 PS),Gebraucht,Automatik,Benzin,148 g/km (komb.),"Volkswagen Golf GTI 5p 2.0 tsi Performance 245cvGetönte Scheiben, Lederlenkrad, Einparkhilfe Sensoren hinten, LED-Scheinwerfer, Sportsitze, Bluetooth, Touchscreen, Sitzheizung€ 25.400,-46.000 km12/2019180 kW (245 PS)Gebraucht- (Fahrzeughalter)AutomatikBenzin6,5 l/100 km (komb.)148 g/km (komb.)",Rattix Srl - Ratti Auto(97),Pierpaolo Provetti • IT-20874 Busnago - Monza Brianza - Mb,italien,25400,46000,"6,5",Volkswagen,0
Mini 1.2 One,"Klimaanlage, Lederlenkrad, Seitenairbag, Elektr. Fensterheber, Alufelgen, Fernlichtassistent, Schlüssellose Zentralverriegelung, teilb. Rücksitzbank",75 kW (102 PS),Gebraucht,Schaltgetriebe,Benzin,- (g/km),"MINI One Mini 1.2 OneKlimaanlage, Lederlenkrad, Seitenairbag, Elektr. Fensterheber, Alufelgen, Fernlichtassistent, Schlüssellose Zentralverriegelung, teilb. Rücksitzbank€ 12.500,-26.000 km12/201575 kW (102 PS)Gebraucht- (Fahrzeughalter)SchaltgetriebeBenzin- (l/100 km)- (g/km)",Commerciale Carri Srl(30),Sabino Rosito • IT-70033 Corato - Bari - Ba,italien,12500,26000,,MINI,0
GT-R 33 2.6 RB26 650CV,05/1995,478 kW (650 PS),Gebraucht,Schaltgetriebe,Benzin,- (g/km),"Nissan Skyline GT-R 33 2.6 RB26 650CV€ 80.000,-10.000 km05/1995478 kW (650 PS)Gebraucht2 FahrzeughalterSchaltgetriebeBenzin- (l/100 km)- (g/km)",Autohero Italia Srl(115),Centro di consegna • IT-20155 Milano - Mi,italien,80000,10000,,Nissan,2
1.4 Turbo T-Jet 180CV  Competizione,COMPRA L' AUTO ONLINE FACILMENTE | DIRITTO DI RECESSO,132 kW (179 PS),Gebraucht,Schaltgetriebe,Benzin,139 g/km (komb.),"Abarth 595 1.4 Turbo T-Jet 180CV  CompetizioneCOMPRA L' AUTO ONLINE FACILMENTE | DIRITTO DI RECESSO€ 15.999,-58.025 km04/2015132 kW (179 PS)Gebraucht- (Fahrzeughalter)SchaltgetriebeBenzin6 l/100 km (komb.)139 g/km (komb.)",G. Menichini srl(12),Domenico Monda • IT-80034 Marigliano - Napoli,italien,15999,58025,6,Abarth,0
1.5 T4 Hybrid 130 CV DCT,CONSEGNADOMICILIOTagliando+garanziaL.CASULLO:3282396727,96 kW (131 PS),Neu,Halbautomatik,Elektro/Benzin,130 g/km (komb.),"HybridFiat 500X 1.5 T4 Hybrid 130 CV DCTCONSEGNADOMICILIOTagliando+garanziaL.CASULLO:3282396727€ 25.000,-- km- (Erstzulassung)96 kW (131 PS)Neu- (Fahrzeughalter)HalbautomatikElektro/Benzin5,4 l/100 km (komb.)130 g/km (komb.)",A & C. Motors Srl(10),Antonio Di Capua • IT-80035 Nola - Napoli - Na,italien,,,"5,4",Fiat,0
420d Cabrio Sport auto,"Spoiler, Müdigkeitswarnsystem, Beheizbares Lenkrad, Sportfahrwerk, Sportsitze, Elektrische Sitze, Notrufsystem, Wegfahrsperre",140 kW (190 PS),Gebraucht,Halbautomatik,Diesel,125 g/km (komb.),"BMW 420 420d Cabrio Sport autoSpoiler, Müdigkeitswarnsystem, Beheizbares Lenkrad, Sportfahrwerk, Sportsitze, Elektrische Sitze, Notrufsystem, Wegfahrsperre€ 40.900,-56.000 km05/2019140 kW (190 PS)Gebraucht- (Fahrzeughalter)HalbautomatikDiesel4,8 l/100 km (komb.)125 g/km (komb.)",Tomasi Auto Srl(1188),Team Vendite Web • IT-46040 Guidizzolo - Mantova - Mn,italien,40900,56000,"4,8",BMW,0
1.5 TSI DSG,Whatsapp DIRETTO: 3515270255 GIANLUCA,110 kW (150 PS),Neu,Automatik,Benzin,- (g/km),"Cupra Formentor 1.5 TSI DSGWhatsapp DIRETTO: 3515270255 GIANLUCA€ 34.890,-- km- (Erstzulassung)110 kW (150 PS)Neu- (Fahrzeughalter)AutomatikBenzin- (l/100 km)- (g/km)",Youdrive Srl(611),Ufficio Vendite • IT-80035 Nola - Napoli - Na,italien,34890,,,Cupra,0
